n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
5,(2013 UR1),2013 UR1,21.6573149632534,-6.89,9.87439e-07,2043-2067,0,0.0094,27.77,2456595.5,-6.75,bK13U01R,2013-10-30
13,(2014 TL),2014 TL,10.7197943069632,-6.94,6.602557e-06,2072-2121,0,0.0092,27.82,2456951.5,-6.75,bK14T00L,2014-10-21
7,(2014 UU56),2014 UU56,8.1690067935888,-9.31,9.8328e-08,2088-2119,0,0.00742,28.29,2456958.5,-8.90,bK14U56U,2014-10-28
15,(2015 DQ224),2015 DQ224,13.6969246515665,-6.59,3.96481939e-05,2045-2054,0,0.00441,29.43,2457072.5,-6.14,bK15DM4Q,2015-02-19
11,(2013 TV132),2013 TV132,9.14938302382687,-6.93,3.926197e-06,2091-2121,0,0.017,26.54,2456598.5,-6.48,bK13TD2V,2013-11-02
2,(2014 FX32),2014 FX32,9.0496620939347,-5.92,1.627109e-06,2076-2108,0,0.033,25.07,2456805.5,-5.92,bK14F32X,2014-05-28
1,(2015 CT13),2015 CT13,6.48,-9.19,4.835e-09,2122-2122,0,0.022,25.89,2457108.5,-9.19,bK15C13T,2015-03-27
2,(2015 YV1),2015 YV1,17.6490680152751,-7.44,9.689e-09,2084-2108,0,0.072,23.36,2457400.5,-7.20,bK15Y01V,2016-01-13
142,(2008 LD),2008 LD,4.13173498806221,-6.97,0.000116370403,2054-2122,0,0.0057,28.86,2454627.5,-6.17,bK08L00D,2008-06-10
3,(2008 PK9),2008 PK9,26.3529332429443,-4.92,5.6054e-07,2049-2065,0,0.0769,23.21,2454686.5,-4.74,bK08P09K,2008-08-08
7,(2010 TD),2010 TD,18.8519643090526,-6.59,2.647394e-06,2072-2091,0,0.014,26.86,2455478.5,-6.28,bK10T00D,2010-10-09
7,(2010 GV23),2010 GV23,5.45506145092258,-6.94,7.02105e-06,2096-2121,0,0.01,27.64,2455302.5,-6.89,bK10G23V,2010-04-16
1,(2016 GW220),2016 GW220,13.32,-9.95,5.907e-10,2076-2076,0,0.016,26.59,2457498.5,-9.95,bK16GM0W,2016-04-20
18,(2016 TQ2),2016 TQ2,15.2111165977373,-6.01,1.2006974e-05,2110-2120,0,0.017,26.45,2457671.5,-5.79,bK16T02Q,2016-10-10
3,(2022 UQ40),2022 UQ40,8.4834299157999,-8.11,4.038e-07,2066-2105,0,0.0075,28.26,2459906.5,-8.04,bK22U40Q,2022-11-23
7,(2022 UU14),2022 UU14,28.9990519978397,-5.58,1.281284e-06,2052-2094,0,0.0421,24.51,2459885.5,-5.25,bK22U14U,2022-11-02
15,(2022 VE1),2022 VE1,17.1459185716599,-5.11,1.2326028e-05,2068-2118,0,0.045,24.39,2459909.5,-4.63,bK22V01E,2022-11-26
5,(2010 XU),2010 XU,6.21229659875168,-7.69,4.36428e-08,2054-2088,0,0.029,25.33,2455544.5,-7.56,bK10X00U,2010-12-14
1,(2016 VH),2016 VH,4.79,-10.55,5.633e-10,2115-2115,0,0.015,26.75,2457721.5,-10.55,bK16V00H,2016-11-29
15,(2014 SR261),2014 SR261,15.2486059702363,-6.48,3.0141487e-06,2058-2117,0,0.015,26.81,2456933.5,-6.27,bK14SQ1R,2014-10-03
26,(2008 YV32),2008 YV32,8.79863224563553,-6.58,6.4383293e-06,2077-2122,0,0.018,26.35,2454840.5,-6.09,bK08Y32V,2009-01-09
15,(2022 CB3),2022 CB3,16.7982662684457,-9.04,1.482594e-06,2083-2120,0,0.0027,30.51,2459617.5,-8.44,bK22C03B,2022-02-07
1,(2022 CL3),2022 CL3,8.74,-7.69,1.110e-06,2093-2093,0,0.008,28.13,2459620.5,-7.69,bK22C03L,2022-02-10
2,(2008 US),2008 US,18.9124162257496,-8.77,5.67e-07,2040-2044,0,0.0018,31.36,2454760.5,-8.66,bK08U00S,2008-10-21
58,(2009 RR),2009 RR,12.9536691131686,-6.28,9.2927101e-06,2098-2120,0,0.026,25.56,2455089.5,-5.49,bK09R00R,2009-09-15
1,(2011 EU20),2011 EU20,9.13,-9.74,3.661e-09,2088-2088,0,0.012,27.31,2455631.5,-9.74,bK11E20U,2011-03-11
4,(2011 KF36),2011 KF36,22.145703576783,-5.69,4.669e-10,2026-2031,0,0.275,20.44,2455713.5,-5.43,bK11K36F,2011-06-01
14,(2011 SM173),2011 SM173,14.2487095542237,-5.42,5.6011071e-05,2058-2120,0,0.0093,27.80,2455834.5,-5.38,bK11SH3M,2011-09-30
