des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
2016 EP84,0.011,(2016 EP84),27.41,bK16E84P,2.928852e-05,2016-05-25,2457533.5,19,-6.08,-6.23,2084-2122,0,2.32992161775331
2016 GK2,0.0094,(2016 GK2),27.77,bK16G02K,4.90284852e-05,2016-04-19,2457497.5,19,-5.87,-6.14,2092-2122,0,9.12018258028906
2007 EH26,0.048,(2007 EH26),24.23,bK07E26H,2.463916e-07,2007-03-16,2454175.5,6,-6.25,-6.50,2097-2118,0,20.0146931875924
2016 NK22,0.0055,(2016 NK22),28.94,bK16N22K,0.0004705480248,2016-07-11,2457580.5,177,-5.61,-5.83,2084-2122,0,6.87770180441739
2017 FC1,0.02,(2017 FC1),26.13,bK17F01C,2.251e-07,2017-04-01,2457844.5,1,-7.20,-7.20,2064-2064,0,8.28
2008 OO8,0.031,(2008 OO8),25.22,bK08O08O,4.480e-08,2008-08-24,2454702.5,1,-7.79,-7.79,2109-2109,0,8.31
2022 DO3,0.014,(2022 DO3),26.94,bK22D03O,8.670347e-06,2022-03-05,2459643.5,11,-6.07,-6.62,2060-2116,0,14.8520642772429
2022 KM6,0.02,(2022 KM6),26.14,bK22K06M,1.5931711e-06,2022-06-05,2459735.5,11,-6.03,-6.25,2065-2115,0,20.4477679804762
2011 EL40,0.017,(2011 EL40),26.50,bK11E40L,5.754016e-07,2011-03-14,2455634.5,6,-7.00,-7.18,2073-2120,0,17.6771769143499
2011 FA23,0.0056,(2011 FA23),28.91,bK11F23A,4.466015e-06,2011-03-31,2455651.5,18,-7.11,-7.29,2031-2120,0,14.4505421320797
2011 EM40,0.00855,(2011 EM40),27.99,bK11E40M,1.9364978e-06,2011-03-14,2455634.5,57,-7.24,-7.86,2049-2122,0,10.6851970619332
